#string_protein_id	preferred_name	protein_size	annotation
7227.FBpp0070037	alpha-Cat	917	Catenin alpha; Associates with the cytoplasmic domain of a variety of cadherins. The association of catenins to cadherins produces a complex which is linked to the actin filament network, and which seems to be of primary importance for cadherins cell-adhesion properties.
7227.FBpp0070044	CG33217	699	RE15216p.
7227.FBpp0070045	Vps11	830	Vacuolar protein sorting 11 (Vps11) encodes a Class C Vps core subunit of HOPS, a heterohexameric tethering complex that consists of the products of car, dor, lt, Vps11, Vps16A and Vps39. HOPS tethers autophagosomes or late endosomes with lysosomes to facilitate fusion. The product of Vps11 roles include autophagosome-lysosome fusion, late endosome-lysosome fusion and biosynthetic trafficking to lysosomes.
7227.FBpp0070049	CG32819	601	LD08455p; Structural constituent of cytoskeleton. It is involved in the biological process described with: flagellated sperm motility; microtubule nucleation.
7227.FBpp0070051	CG32857	283	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial; Molecular scaffold for [Fe-S] cluster assembly of mitochondrial iron-sulfur proteins; Belongs to the NifU family.
7227.FBpp0070052	CG32820	601	Structural constituent of cytoskeleton. It is involved in the biological process described with: flagellated sperm motility; microtubule nucleation.
7227.FBpp0070054	CG33502	283	Iron ion binding; iron-sulfur cluster binding. It is involved in the biological process described with: iron-sulfur cluster assembly.
7227.FBpp0070056	CG17450	601	Uncharacterized protein, isoform B; It is involved in the biological process described with: sperm competition.
7227.FBpp0070060	GCS2alpha	924	Glucan 1,3-alpha-glucosidase activity; carbohydrate binding. It is involved in the biological process described with: carbohydrate metabolic process; Belongs to the glycosyl hydrolase 31 family.
7227.FBpp0070064	cin	601	Molybdenum cofactor synthesis protein cinnamon; Catalyzes two steps in the biosynthesis of the molybdenum cofactor. In the first step, molybdopterin is adenylated. Subsequently, molybdate is inserted into adenylated molybdopterin and AMP is released; In the N-terminal section; belongs to the MoaB/Mog family.
7227.FBpp0070068	CG12470	195	EG:BACR37P7.5 protein.
7227.FBpp0070069	Or1a	392	Odorant receptor 1a; Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability. Involved in the behavioral responses to butanal, heptanal, and 2-heptanone.
7227.FBpp0070070	y	541	Yellow (y) is the founding gene of the Yellow family. Lack of y function results in an abnormal male courtship behavior and a characteristic yellow color of the adult cuticle and larval mouthparts; Belongs to the major royal jelly protein family.
7227.FBpp0070071	ac	201	Achaete-scute complex protein T5; Achaete (ac) encodes a BHLH transcription factor that interacts antagonistically with the Notch signaling pathway to promote neural precursor formation. Its major role is in nervous system development.
7227.FBpp0070072	sc	345	Achaete-scute complex protein T4; AS-C proteins are involved in the determination of the neuronal precursors in the peripheral nervous system and the central nervous system. Also involved in sex determination and dosage compensation.
7227.FBpp0070073	l(1)sc	257	Achaete-scute complex protein T3; AS-C proteins are involved in the determination of the neuronal precursors in the peripheral nervous system and the central nervous system.
7227.FBpp0070074	ase	486	Achaete-scute complex protein T8; Asense (ase) encodes a transcription factor in the achaete-scute complex. It acts together with other proneural genes in nervous system development, which involves N-mediated lateral inhibition. ase is expressed in the CNS type-I neuroblasts and the PNS sensory organ precursors (SOPs) but not in the proneural clusters that give rise to the SOP via lateral inhibition.
7227.FBpp0070078	CG3156	692	LD18126p; ATPase activity; ATPase-coupled transmembrane transporter activity; ATP binding. It is involved in the biological process described with: mitochondrial transport; transmembrane transport.
7227.FBpp0070083	arg	351	Arginase (arg) encodes an enzyme that converts arginine into ornithine. Lack of arg produces a developmental embryonic delay.
7227.FBpp0070087	CG17896	520	Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial; Plays a role in valine and pyrimidine metabolism. Binds fatty acyl-CoA (By similarity).
7227.FBpp0070089	CG18273	1377	LD21943p.
7227.FBpp0070094	Cyp4g1	556	Cytochrome P450-4g1 (Cyp4g1) encodes the terminal oxidative decarbonylase in cuticular hydrocarbon biosynthesis within oenocytes.
7227.FBpp0070095	Pgcl	407	Pepsinogen C-like (Pgcl) encodes a protein predicted to belong to a family of aspartic proteases and controls planar cell polarity. Pgcl mutants result in loss of wing margins; Belongs to the peptidase A1 family.
7227.FBpp0070101	CG13377	330	RE15974p.
7227.FBpp0070103	CG3038	388	Hexosyltransferase; Transferase activity, transferring hexosyl groups; acetylglucosaminyltransferase activity; UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity; acetylgalactosaminyltransferase activity. It is involved in the biological process described with: protein N-linked glycosylation; oligosaccharide biosynthetic process; protein O-linked glycosylation; protein glycosylation.
7227.FBpp0070105	vnd	723	Homeobox protein vnd; Ventral nervous system defective (vnd) encodes a Nk2-class homeodomain transcription factor that acts in a context-dependent manner as an activator or repressor. It has roles in neuroectoderm patterning, formation and specification of ventral neuroblasts and proper development of their cell lineages.
7227.FBpp0070110	CG13369	304	Ribokinase; Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5-phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway.
7227.FBpp0070111	CG17829	467	EG:115C2.6 protein; Transcription regulatory region sequence-specific DNA binding; transcription coactivator activity; DNA-binding transcription factor activity. It is involved in the biological process described with: regulation of transcription, DNA-templated.
7227.FBpp0070114	Mybbp1A	1133	Myb-binding protein 1A; Has a role in rRNA biogenesis, cell proliferation and tissue growth by contributing to the localization of nclb to the nucleolus. Belongs to the MYBBP1A family.
7227.FBpp0070115	su(sable)	1325	Protein suppressor of sable; Affects the transcript levels of those alleles that it suppresses. May be involved in influencing complex assembly on cryptic 5'-splice sites or nuclear RNA export; binds RNA preferentially at a sequence that resembles a cryptic 5'-splice site (in vitro).
7227.FBpp0070116	CG13367	408	EG:115C2.8 protein; It is involved in the biological process described with: chromatin organization.
7227.FBpp0070129	CG5254	306	EG:BACR19J1.2 protein; Belongs to the mitochondrial carrier (TC 2.A.29) family.
7227.FBpp0070132	CG5273	469	RE67565p; It is involved in the biological process described with: regulation of circadian rhythm.
7227.FBpp0070137	CG14635	119	GEO10371p1.
7227.FBpp0070140	CG13359	493	Uncharacterized protein.
7227.FBpp0070141	Rbf	845	Retinoblastoma-family protein (Rbf) encodes a protein that binds to members of the E2F transcription factors and forms the DREAM complex, which regulates genes with diverse biological functions including cell cycle regulators, apoptosis regulators, and DNA replication/repair factors. The product of Rbf can also bind chromosomal proteins and modulate genome stability. It is negatively regulated by CycE-Cdk2 and CycD-Cdk4 cyclin-dependent kinase complexes.
7227.FBpp0070142	CG13360	421	EG:34F3.5 protein.
7227.FBpp0070143	RpL22	299	Ribosomal protein L22 (RpL22) encodes a member of the eukaryotic ribosomal protein eL22 family. It is ubiquitously expressed, forms part of the large ribosomal subunit and is involved in protein synthesis.
7227.FBpp0070144	CG13361	478	Uncharacterized protein.
7227.FBpp0070145	CG13362	322	RE65335p.
7227.FBpp0070146	Hmt4-20	1300	Histone-lysine N-methyltransferase Suv4-20; Histone methyltransferase that specifically trimethylates 'Lys-20' of histone H4. H4 'Lys-20' trimethylation represents a specific tag for epigenetic transcriptional repression. Mainly functions in pericentric heterochromatin regions, thereby playing a central role in the establishment of constitutive heterochromatin in these regions. Acts as a dominant suppressor of position-effect variegation; Belongs to the class V-like SAM-binding methyltransferase superfamily. Histone-lysine methyltransferase family. Suvar4-20 subfamily.
7227.FBpp0070153	RpL36	115	60S ribosomal protein L36; Component of the large ribosomal subunit.
7227.FBpp0070154	CG13364	64	Translation machinery-associated protein 7 homolog; It is involved in the biological process described with: cytoplasmic translation.
7227.FBpp0070155	CG13365	114	LP07417p.
7227.FBpp0070158	CG11664	254	CG11664 encodes a protein with homology to serine-type endopeptidases, but is not predicted to have catalytic activity due to mutations in its active site. It is produced by the male accessory glands.
7227.FBpp0070160	MED22	143	Mediator of RNA polymerase II transcription subunit 22; Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene- specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors.
7227.FBpp0070162	TRAM	368	Translocating chain-associated membrane protein; It is involved in the biological process described with: SRP-dependent cotranslational protein targeting to membrane, translocation; Belongs to the TRAM family.
7227.FBpp0070165	mus81	426	EG:BACR7A4.16 protein; Mus81 (mus81) encodes the catalytic subunit of the Mus81-mms4 structure-selective endonuclease that functions in DNA repair.
7227.FBpp0070166	CG18823	106	RRM domain-containing protein; Nucleic acid binding.
7227.FBpp0070167	CG14631	132	IP05715p.
7227.FBpp0070168	CG3021	389	Mitochondrial tRNA-specific 2-thiouridylase 1; Catalyzes the 2-thiolation of uridine at the wobble position (U34) of mitochondrial tRNA(Lys), tRNA(Glu) and tRNA(Gln). Required for the formation of 5-taurinomethyl-2-thiouridine (tm5s2U) of mitochondrial tRNA(Lys), tRNA(Glu), and tRNA(Gln) at the wobble position. ATP is required to activate the C2 atom of the wobble base. Belongs to the MnmA/TRMU family.
7227.FBpp0070170	CG14630	406	Uncharacterized protein; Gamma-butyrobetaine dioxygenase activity. It is involved in the biological process described with: carnitine biosynthetic process; oxidation-reduction process.
7227.FBpp0070171	su(w[a])	963	Protein suppressor of white apricot; Regulator of pre-mRNA splicing (and, possibly, of other RNA processing events). Regulates its own expression at the level of RNA processing.
7227.FBpp0070172	CG14629	319	GH18858p.
7227.FBpp0070173	CG14628	141	EG:BACR42I17.12 protein; mRNA binding; nucleic acid binding.
7227.FBpp0070175	Cdc45	575	CDC45L (CDC45L) encodes a protein that contributes to 3'-5' DNA helicase activity of the Cdc45/Mcm2-7/GINS complex. It is involved in chromosome condensation and the regulation of the mitotic G1/S transition.
7227.FBpp0070176	CG11638	387	RE52086p; Enzyme regulator activity; calcium ion binding. It is involved in the biological process described with: calcium-mediated signaling; microtubule cytoskeleton organization.
7227.FBpp0070177	TfIIA-S-2	107	Transcription initiation factor IIA subunit 2-2; TFIIA is a component of the transcription machinery of RNA polymerase II and plays an important role in transcriptional activation. TFIIA in a complex with TBP mediates transcriptional activity (By similarity); Belongs to the TFIIA subunit 2 family.
7227.FBpp0070179	CG3699	251	EG:BACR7A4.14 protein; Estradiol 17-beta-dehydrogenase activity; 2,4-dienoyl-CoA reductase (NADPH) activity; testosterone 17-beta-dehydrogenase (NADP+) activity. It is involved in the biological process described with: fatty acid beta-oxidation.
7227.FBpp0070180	CG3703	711	RE02292p; Rab GTPase binding; GTPase activator activity. It is involved in the biological process described with: intracellular protein transport; activation of GTPase activity.
7227.FBpp0070181	CG3704	382	GPN-loop GTPase; Small GTPase required for proper nuclear import of RNA polymerase II (RNAPII). May act at an RNAP assembly step prior to nuclear import.
7227.FBpp0070182	CG3706	444	EG:BACR7A4.20 protein.
7227.FBpp0070188	CG3713	83	EG:BACR7A4.2 protein.
7227.FBpp0070193	CG14626	342	EG:BACR42I17.6 protein.
7227.FBpp0070195	CG14625	756	EG:BACR42I17.8 protein.
7227.FBpp0070196	CG11381	436	RE05851p.
7227.FBpp0070197	CG14624	230	Uncharacterized protein.
7227.FBpp0070198	CG11382	505	EG:BACR42I17.10 protein.
7227.FBpp0070199	CG32812	225	EG:114D9.1 protein; Calcium ion binding. It is involved in the biological process described with: negative regulation of phosphatase activity.
7227.FBpp0070200	fs(1)N	2118	Female sterile (1) Nasrat (fs(1)N) encodes encodes a protein that is required, along with the products of fs(1)M3 and clos, for their accumulation at the vitelline membrane and function in vitelline membrane integrity and Torso receptor activation.
7227.FBpp0070202	Naa30A	377	N-alpha-acetyltransferase 30A; Probable catalytic component of a complex displaying alpha (N-terminal) acetyltransferase activity.
7227.FBpp0070204	Tsp2A	244	Tetraspanin-2A; Required for assembly of smooth septate junctions (sSJs), together with Ssk and mesh. Important for barrier function of the midgut epithelium; Belongs to the tetraspanin (TM4SF) family.
7227.FBpp0070205	CG11417	771	EG:8D8.4 protein; RNA binding. It is involved in the biological process described with: rRNA processing.
7227.FBpp0070206	CG14770	151	GEO13396p1.
7227.FBpp0070209	AMPKalpha	582	AMP-activated protein kinase alpha subunit (AMPKalpha) encodes the alpha subunit of the AMP-activated protein kinase (AMPK) complex. In general AMPK helps cells conserve energy through inhibition of energy consuming processes (fatty acid synthesis, protein synthesis). AMPK is usually active when the TOR pathway is inhibited.
7227.FBpp0070221	Lrpprc2	1072	Leucine-rich pentatricopeptide repeat containing 2 (Lrpprc2) encodes an RNA-binding protein that forms a complex with the product of SLIRP2. It localizes to the mitochondrial matrix where it functions to coordinate mitochondrial translation.
7227.FBpp0070222	CG14785	470	EG:BACN32G11.2 protein.
7227.FBpp0070224	CG3719	160	EG:132E8.3 protein; Disulfide oxidoreductase activity. It is involved in the biological process described with: cell redox homeostasis.
7227.FBpp0070225	png	291	Pan gu (png) encodes a Ser/Thr kinase that controls the translation of hundreds of mRNAs, such as CycB and smg, during the oocyte-to-embryo transition. The activation of the product of png requires the formation of a complex with the two activating subunits encoded by plu and gnu.
7227.FBpp0070227	MTPAP	612	Poly(A) RNA polymerase, mitochondrial; Polymerase that creates the 3' poly(A) tail of mitochondrial transcripts. This is not required for transcript stability or translation but may maintain mRNA integrity by protecting 3' termini from degradation.
7227.FBpp0070228	CG11409	1279	EG:8D8.2 protein.
7227.FBpp0070235	CG11403	861	EG:33C11.2 protein; DNA helicase activity; DNA binding; helicase activity; ATP binding. It is involved in the biological process described with: establishment of sister chromatid cohesion; nucleobase-containing compound metabolic process; DNA duplex unwinding.
7227.FBpp0070241	CG11384	588	Glycosyltransferase family 92 protein; Belongs to the glycosyltransferase 92 family.
7227.FBpp0070242	eIF4E7	429	Eukaryotic translation initiation factor 4E7 (eIF4E7) encodes a protein involved in translational initiation.
7227.FBpp0070244	CG14778	186	Uncharacterized protein; Belongs to the peroxisomal membrane protein PXMP2/4 family.
7227.FBpp0070245	pck	256	EG:80H7.2 protein; Pickel (pck) encodes a transmembrane protein of the Claudin superfamily. It is part of the septate junction (SJ) core complex and essential for SJ morphogenesis and function. The transepithelial barrier function of epithelial tissues is affected in pck mutants.
7227.FBpp0070247	CG14780	302	FI18108p1; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family.
7227.FBpp0070259	dor	1002	Vacuolar protein sorting-associated protein 18 homolog; Plays a role in vesicle-mediated protein trafficking to lysosomal compartments and in membrane docking/fusion reactions of late endosomes/lysosomes probably as part of the class C core vacuole/endosome tethering (CORVET) complex. In larval neuromuscular junctions, essential for endosomal sorting which traffics old or dysfunctional synaptic vesicle proteins through a degradative endolysosomal route. Required for the biogenesis of eye pigment granules. Required to maintain normal levels of rush, which functions in endosome formation [...] 
7227.FBpp0070262	b6	558	FBgn0024897;b6 protein (Eg:9d2.1 protein).
7227.FBpp0070273	CG3740	140	GEO08311p1; It is involved in the biological process described with: neuromuscular process.
7227.FBpp0070275	CG14795	116	Uncharacterized protein.
7227.FBpp0070276	Nmdar2	1083	NMDA receptor 2, isoform C; Ligand-gated ion channel activity; signaling receptor activity; NMDA glutamate receptor activity; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential; glutamate receptor activity.
7227.FBpp0070277	sta	270	40S ribosomal protein SA; Required for the assembly and/or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits. Required during oogenesis and imaginal development. Belongs to the universal ribosomal protein uS2 family.
7227.FBpp0070280	Rab27	236	EG:80H7.4 protein; Rab27 (Rab27) encodes a Rab GTPase involved in exosomal secretion.
7227.FBpp0070282	CG32808	284	FI18310p1; Serine-type endopeptidase activity. It is involved in the biological process described with: proteolysis; Belongs to the peptidase S1 family.
7227.FBpp0070283	O-fut2	490	GDP-fucose protein O-fucosyltransferase 2; Catalyzes the reaction that attaches fucose through an O- glycosidic linkage to a conserved serine or threonine residue in the consensus sequence C1-X(2,3)-S/T-C2-X(2)-G of thrombospondin type 1 repeats where C1 and C2 are the first and second cysteines, respectively. O-fucosylates members of a number of protein families including the ADAMTS family, the thrombosporin (TSP) and spondin families.
7227.FBpp0070285	CG14787	260	EG:BACN32G11.4 protein.
7227.FBpp0070288	CG32806	205	IP15948p.
7227.FBpp0070295	MED18	217	Mediator of RNA polymerase II transcription subunit 18; Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene- specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors.
7227.FBpp0070297	CG14803	1102	Protein MMS22-like; Involved in recombination-dependent repair of stalled or collapsed replication forks; Belongs to the MMS22 family. MMS22L subfamily.
7227.FBpp0070298	Vps26	478	Vacuolar protein sorting-associated protein 26; Component of the retromer complex which acts in conjunction with wingless (wg) and clathrin-mediated endocytosis to sustain a wntless (wls) traffic loop. This loop encompasses the Golgi, the cell surface, an endocytic compartment and a retrograde route leading back to the Golgi, thereby enabling wls to direct wg secretion. The hh and dpp signaling pathways do not require the retromer complex suggesting that it does not play a general role in exocytosis. Belongs to the VPS26 family.
7227.FBpp0070299	CG14805	506	FI20216p1; It is involved in the biological process described with: regulation of DNA-dependent DNA replication initiation; rRNA processing.
7227.FBpp0070300	Coa8	176	COA8 family protein CG14806, mitochondrial; May be required for cytochrome c complex (COX) assembly and function, COX being the terminal component of the mitochondrial respiratory chain; Belongs to the COA8 family.
7227.FBpp0070302	mip130	986	Myb-interacting protein 130 (mip130) encodes a subunit of the MuvB core complex. The MuvB core binds to the oncoprotein encoded by Myb and the Rbf-E2f2-Dp tumor suppressor complex, thereby controlling the expression of many genes, including critical regulators of the cell cycle.
7227.FBpp0070304	Ocrl	850	Oculocerebrorenal syndrome of Lowe (Ocrl) encodes an inositol polyphosphate 5-phosphatase that regulates PtdIns(4,5)P2 homeostasis by dephosphorylating PtdIns(4,5)P2 on endocytic compartments. In vitro experiments also suggest a role of the product of Ocrl during cytokinesis.
7227.FBpp0070305	CG11596	456	Carnosine N-methyltransferase; N-methyltransferase that mediates the formation of anserine (beta-alanyl-N(Pi)-methyl-L-histidine) from carnosine.
7227.FBpp0070308	CG3587	299	EG:39E1.2 protein; It is involved in the biological process described with: regulation of transcription by RNA polymerase II; tRNA wobble uridine modification.
7227.FBpp0070314	CG4194	264	LD31238p.
7227.FBpp0070316	Rtca	361	RNA 3'-terminal phosphate cyclase; Catalyzes the conversion of 3'-phosphate to a 2',3'-cyclic phosphodiester at the end of RNA. The mechanism of action of the enzyme occurs in 3 steps: (A) adenylation of the enzyme by ATP; (B) transfer of adenylate to an RNA-N3'P to produce RNA-N3'PP5'A; (C) and attack of the adjacent 2'-hydroxyl on the 3'-phosphorus in the diester linkage to produce the cyclic end product. The biological role of this enzyme is unknown but it is likely to function in some aspects of cellular RNA processing (By similarity).
7227.FBpp0070317	CG4045	256	tRNA (guanine-N(7)-)-methyltransferase; Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA; Belongs to the class I-like SAM-binding methyltransferase superfamily. TrmB family.
7227.FBpp0070324	CG14054	205	FI08026p.
7227.FBpp0070325	CG4281	696	GH10944p.
7227.FBpp0070326	Sik2	1398	Salt-inducible kinase 2 (Sik2) encodes a serine/threonine kinase that is activated by the product of Lkb1. It regulates lipid storage and energy homeostasis by controlling the activity of cAMP-response element-binding protein (CREB)-regulated transcription coactivator (CRTC).
7227.FBpp0070331	Actn	917	Alpha-actinin, sarcomeric; Alpha actinin (Actn) encodes an actin cross-linking protein with muscle and non-muscle specific isoforms, which are produced by alternative spicing. The muscle isoform has a role in muscle development while the non-muscle isoform localizes to ovarian ring canals and has a role in cytoskeletal remodeling of follicle cells; Belongs to the alpha-actinin family.
7227.FBpp0070333	PIG-K	355	Putative GPI-anchor transamidase; Mediates GPI anchoring in the endoplasmic reticulum, by replacing a protein's C-terminal GPI attachment signal peptide with a pre-assembled GPI. During this transamidation reaction, the GPI transamidase forms a carbonyl intermediate with the substrate protein (By similarity); Belongs to the peptidase C13 family.
7227.FBpp0070335	CG3857	487	Protein SMG9; Involved in nonsense-mediated decay (NMD) of mRNAs containing premature stop codons. Probable component of kinase complex containing nonC and recruited to stalled ribosomes (By similarity).
7227.FBpp0070340	CG32801	158	IP05017p.
7227.FBpp0070347	trr	2431	Histone-lysine N-methyltransferase trr; Histone methyltransferase that acts as a coactivator for the ecdysone receptor during development. Specifically trimethylates 'Lys- 4' of histone H3, a specific tag for epigenetic transcriptional activation. Recruited by EcR in an ecdysone-dependent manner causing H3 'Lys-4' trimethylation at ecdysone-inducible promoters, leading to activate expression. Plays a central role in the developing compound eye, during the progression of the morphogenetic furrow and in post- furrow differentiation of the retinal epithelium, notably by activating express [...] 
7227.FBpp0070350	Pgam5	289	Serine/threonine-protein phosphatase Pgam5, mitochondrial; Displays phosphatase activity for serine/threonine residues, and dephosphorylates and activates Pk92B kinase. Has apparently no phosphoglycerate mutase activity.
7227.FBpp0070351	Pex5	614	Peroxin 5, isoform A; Peroxisome matrix targeting signal-1 binding. It is involved in the biological process described with: protein import into peroxisome matrix, docking; response to anesthetic; peroxisome organization.
7227.FBpp0070353	CG14814	1052	Uncharacterized protein, isoform B.
7227.FBpp0070355	deltaCOP	532	Coatomer subunit delta; The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin- coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins.
7227.FBpp0070358	CG14810	202	IP06812p.
7227.FBpp0070359	CG4025	246	EG:22E5.9 protein; It is involved in the biological process described with: regulation of autophagy.
7227.FBpp0070363	csw	945	Tyrosine-protein phosphatase corkscrew; Required in all receptor tyrosine kinase signaling pathways. Functions downstream of the receptor tyrosine kinase torso, acting in concert with D-Raf via tailless. Also functions downstream of Egfr (epidermal growth factor receptor) and btl (fibroblast growth factor receptor). The SH2 domain suggests that csw effects its role by mediating heteromeric protein interactions. Maternally required for normal determination of cell fates at the termini of the embryo. Required for cell fate specification of the ventral ectoderm, in the developing embryoni [...] 
7227.FBpp0070367	D2hgdh	533	D-2-hydroxyglutaric acid dehydrogenase (D2hgdh) encodes an enzyme involved in oxidation-reduction metabolism.
7227.FBpp0070368	Pgd	481	6-phosphogluconate dehydrogenase, decarboxylating; Phosphogluconate dehydrogenase (Pgd) encodes a cytosolic enzyme that catalyzes the oxidation of 6-phosphogluconate to ribulose 5-phosphate, with the concomitant reduction of NADP[+] to NADPH. The products of Pgd and Zw are the two NADP[+] reducing enzymes in the pentose phosphate pathway.
7227.FBpp0070369	CG3630	371	EG:152A3.3 protein; Actin binding. It is involved in the biological process described with: positive regulation of Rho protein signal transduction; positive regulation of DNA-binding transcription factor activity; positive regulation of transcription by RNA polymerase II; positive regulation of transcription, DNA-templated.
7227.FBpp0070372	Cyp4ae1	496	Cytochrome P450 4ae1; May be involved in the metabolism of insect hormones and in the breakdown of synthetic insecticides.
7227.FBpp0070373	pn	405	EG:152A3.5 protein (Fbgn0003116;pn protein); Prune (pn) encodes a phosphoesterase that localizes to the mitochondrial matrix. It hydrolyzes cAMP and negatively regulates mitochondrial cAMP signaling. It is involved in mtDNA maintenance and eye pigment biosynthesis.
7227.FBpp0070377	Mct1	626	Monocarboxylate transporter 1, isoform A; Monocarboxylic acid transmembrane transporter activity. It is involved in the biological process described with: transmembrane transport.
7227.FBpp0070380	fs(1)K10	463	DNA-binding protein K10; Female sterile (1) K10 (fs(1)K10) encodes a nuclear protein of unknown biochemical function required during oogenesis for the proper localization of grk mRNA and protein in the oocyte, a key step in the specification of the dorsoventral axis of the oocyte, mature egg, and future embryo.
7227.FBpp0070381	Or2a	397	Odorant receptor 2a; Odorant receptor which mediates acceptance or avoidance behavior, depending on its substrates. The odorant receptor repertoire encodes a large collection of odor stimuli that vary widely in identity, intensity, and duration. May form a complex with Orco to form odorant-sensing units, providing sensitive and prolonged odorant signaling and calcium permeability.
7227.FBpp0070382	CG3071	535	LD43561p; snoRNA binding. It is involved in the biological process described with: maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); rRNA processing; positive regulation of transcription by RNA polymerase I.
7227.FBpp0070383	CG2854	491	EG:BACH48C10.2 protein.
7227.FBpp0070389	mRpL14	161	Mitochondrial ribosomal protein L14, isoform A; Structural constituent of ribosome. It is involved in the biological process described with: translation; mitochondrial translation.
7227.FBpp0070390	Ilp6	107	Insulin-like peptide 6 (Ilp6) encodes a protein that promotes growth during starvation.
7227.FBpp0070398	temp	398	Tempura, isoform A; Tempura (temp) encodes a protein-prenyltransferase subunit that regulates Notch signaling.
7227.FBpp0070401	CG3191	309	GH16463p; Phosphatidylinositol bisphosphate binding.
7227.FBpp0070402	crn	702	Crooked neck (crn) encodes a component of the splicing complex involved in axon ensheathment, glial cell migration and Malpighian tubule morphogenesis; Belongs to the crooked-neck family.
7227.FBpp0070403	kz	1192	Probable ATP-dependent RNA helicase kurz; Helicase activity; RNA binding; ATP binding. It is involved in the biological process described with: maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA).
7227.FBpp0070407	FarO	504	Fatty acyl-CoA reductase in oenocytes (FarO) encodes a long-chain-fatty-acyl-CoA reductase involved in the regulation of cell growth and lipid storage.
