Locus,Sequence_Length,Aromaticity,Sec_Struct_Helix,Sec_Struct_Turn,Sec_Struct_Sheet_x,Percent_A,Percent_C_x,Percent_D,Percent_E,Percent_F,Percent_G,Percent_H,Percent_I,Percent_K,Percent_L,Percent_M,Percent_N,Percent_P,Percent_Q,Percent_R,Percent_S,Percent_T,Percent_V,Percent_W,Percent_Y,IsoelectricPoint,Tiny_Number,Small_Number,Aliphatic_Number,Aromatic_Number,Non-polar_Number,Polar_Number,Charged_Number,Basic_Number,Acidic_Number,predict_xgboost,predict_rfc,Local Average Connectivity_y,Density of Maximum neighborhood Component_y,Topology Potential_y,Edge Clustering Coefficient_y,DegreeCentrality_y,EigenvectorCentrality_y,BetweennessCentrality_y,ClosenessCentrality_y,Clustering_y,predict_rfc_over,predict_rfc_under,#string_protein_id,preferred_name,protein_size,annotation
6183.A0A3Q0KBH1,294,0.0986394557823129,0.282312925170068,0.3809523809523809,0.336734693877551,0.0680272108843537,0.0238095238095238,0.0714285714285714,0.0442176870748299,0.0442176870748299,0.0714285714285714,0.0340136054421768,0.064625850340136,0.0680272108843537,0.0748299319727891,0.0204081632653061,0.0442176870748299,0.0408163265306122,0.0374149659863945,0.0374149659863945,0.0850340136054421,0.0578231292517006,0.0578231292517006,0.0170068027210884,0.0374149659863945,6.8137,90,153,78,39,153,141,75,41,34,1,1,0.2302428556821307,0.2933972840654599,395.1033554688893,0.3599576970064924,0.0729871447902571,0.0044670688733874,0.0001395148582907,0.5036785718033675,0.2933972840654599,1,1,6183.A0A3Q0KBH1,A0A3Q0KBH1,294,Uncharacterized protein.
6183.A0A3Q0KBJ2,392,0.0739795918367346,0.3010204081632653,0.3622448979591836,0.336734693877551,0.0714285714285714,0.0204081632653061,0.0714285714285714,0.0561224489795918,0.0306122448979591,0.0943877551020408,0.0306122448979591,0.0612244897959183,0.0688775510204081,0.086734693877551,0.0076530612244897,0.0306122448979591,0.0382653061224489,0.0306122448979591,0.048469387755102,0.0586734693877551,0.0586734693877551,0.0918367346938775,0.010204081632653,0.0331632653061224,6.7653,119,210,122,41,214,178,108,58,50,1,1,0.2826949122448021,0.2442096411841898,607.7374011832326,0.4148547662809754,0.1298207036535859,0.0106283035875313,0.0004870422374966,0.5227554286793434,0.2442096411841898,1,1,6183.A0A3Q0KBJ2,A0A3Q0KBJ2,392,S-adenosylmethionine synthase; Catalyzes the formation of S-adenosylmethionine from methionine and ATP.
6183.A0A3Q0KBJ6,937,0.0522945570971184,0.3351120597652081,0.3703308431163287,0.2945570971184632,0.0597652081109925,0.016008537886873,0.0565635005336179,0.0651013874066168,0.0202774813233724,0.0618996798292422,0.0341515474919957,0.0544290288153681,0.0437566702241195,0.0821771611526147,0.0170757737459978,0.0789754535752401,0.0373532550693703,0.0426894343649946,0.0683030949839914,0.0917822838847385,0.071504802561366,0.0661686232657417,0.0042689434364994,0.0277481323372465,6.8803,282,506,246,81,419,518,251,137,114,1,1,0.2717894753240856,0.2819045159147829,329.3265321138145,0.3442672270285177,0.055734100135318,0.0050462728984006,0.0001093942385039,0.4958172725233759,0.2819045159147829,1,1,6183.A0A3Q0KBJ6,A0A3Q0KBJ6,937,Kinesin-like protein; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
6183.A0A3Q0KBK3,691,0.065123010130246,0.316931982633864,0.4298118668596237,0.2532561505065123,0.0376266280752532,0.0289435600578871,0.0665701881331403,0.0607814761215629,0.0434153400868306,0.0506512301013024,0.0347322720694645,0.0217076700434153,0.0492040520984081,0.0665701881331403,0.0347322720694645,0.0463096960926193,0.1114327062228654,0.0347322720694645,0.0824891461649783,0.1056439942112879,0.0607814761215629,0.0419681620839363,0.0014471780028943,0.0202604920405209,7.8064,196,380,116,69,317,374,203,115,88,1,1,0.2777683496630011,0.2566833807652346,266.7953506125861,0.2774394991329099,0.0398342354533152,0.0036426645661304,0.0001070417029108,0.4852189287990768,0.2566833807652346,1,1,6183.A0A3Q0KBK3,A0A3Q0KBK3,691,Uncharacterized protein.
6183.A0A3Q0KBN9,337,0.0949554896142433,0.3590504451038575,0.3412462908011869,0.2997032640949555,0.0563798219584569,0.0207715133531157,0.0741839762611275,0.0534124629080118,0.0445103857566765,0.0474777448071216,0.0267062314540059,0.0652818991097922,0.0445103857566765,0.1275964391691394,0.0237388724035608,0.0504451038575667,0.0474777448071216,0.0326409495548961,0.0652818991097922,0.0771513353115727,0.0356083086053412,0.0563798219584569,0.0059347181008902,0.0445103857566765,6.2328,80,157,103,41,182,155,89,46,43,1,1,0.3277670496211195,0.3024499768870105,374.487195276096,0.3236197711740717,0.06765899864682,0.0068099932698832,7.565607908087657e-05,0.5006372168881914,0.3009386733416771,1,1,6183.A0A3Q0KBN9,A0A3Q0KBN9,337,Uncharacterized protein.
6183.A0A3Q0KBU5,597,0.0653266331658291,0.2847571189279732,0.3936348408710218,0.321608040201005,0.0351758793969849,0.0217755443886097,0.0435510887772194,0.0485762144053601,0.0318257956448911,0.0435510887772194,0.0435510887772194,0.0619765494137353,0.0586264656616415,0.0988274706867671,0.0134003350083752,0.0904522613065326,0.0435510887772194,0.0485762144053601,0.0402010050251256,0.1139028475711892,0.0720268006700167,0.0569514237855946,0.0033500837520938,0.0301507537688442,8.0872,171,311,151,65,263,334,140,85,55,1,1,0.3182606710550827,0.2899628573896519,334.4645065363825,0.3185809809427617,0.0575947225981055,0.0059586070787857,6.77513111949709e-05,0.492911399062114,0.2899628573896519,1,1,6183.A0A3Q0KBU5,A0A3Q0KBU5,597,Ubiquitin-specific peptidase 10 (C19 family); Belongs to the peptidase C19 family.
6183.A0A3Q0KBV0,651,0.086021505376344,0.3271889400921659,0.3563748079877112,0.3164362519201228,0.0798771121351766,0.0168970814132104,0.043010752688172,0.0384024577572964,0.0414746543778801,0.0798771121351766,0.0230414746543778,0.0675883256528417,0.0506912442396313,0.1105990783410138,0.0076804915514592,0.0491551459293394,0.0491551459293394,0.0337941628264208,0.0568356374807987,0.0844854070660522,0.0384024577572964,0.0844854070660522,0.0138248847926267,0.0307219662058371,9.5299,195,342,223,71,379,272,138,85,53,1,1,0.2189759035387885,0.2710466547397003,429.65883998835176,0.3948701683626825,0.0822902571041948,0.0047008740859876,0.00016279736963,0.5061866053932088,0.2710466547397003,1,1,6183.A0A3Q0KBV0,A0A3Q0KBV0,651,Acetolactate synthase; Belongs to the TPP enzyme family.
6183.A0A3Q0KBW7,403,0.0893300248138957,0.3002481389578164,0.3995037220843672,0.3002481389578164,0.0421836228287841,0.0198511166253101,0.0545905707196029,0.064516129032258,0.0471464019851116,0.0570719602977667,0.0223325062034739,0.0744416873449131,0.0719602977667493,0.0843672456575682,0.0223325062034739,0.0843672456575682,0.0446650124069478,0.0347394540942928,0.0521091811414392,0.086848635235732,0.0421836228287841,0.0521091811414392,0.0148883374689826,0.0272952853598014,7.8826,100,195,102,45,196,207,107,59,48,1,1,0.2974185114726919,0.2726819386005922,318.4083082927981,0.3002284172175921,0.052520297699594,0.0045969271589455,2.3809972455493866e-05,0.4969554349411731,0.2726819386005922,1,1,6183.A0A3Q0KBW7,A0A3Q0KBW7,403,Nudix hydrolase domain-containing protein.
6183.A0A3Q0KBX5,1321,0.0696442089326268,0.3504920514761545,0.3573050719152157,0.2922028766086298,0.0499621498864496,0.0204390613171839,0.0598031794095382,0.0651021953065859,0.0476911430734292,0.0295230885692657,0.0234670704012112,0.0666161998485995,0.0908402725208175,0.1203633610900832,0.0174110522331567,0.05223315669947,0.0287660862982588,0.0454201362604087,0.05223315669947,0.0961392884178652,0.0567751703255109,0.0552611657834973,0.0045420136260408,0.0174110522331567,8.9502,334,593,386,123,605,716,385,220,165,1,1,0.3068437722660537,0.407342069099977,370.189024801084,0.4363178000392627,0.0675744248985115,0.0061159087285478,4.780513424300321e-05,0.4929321829801044,0.4063224393900897,1,1,6183.A0A3Q0KBX5,A0A3Q0KBX5,1321,Uncharacterized protein.
6183.A0A3Q0KC01,1123,0.0837043633125556,0.3107747105966162,0.4603739982190561,0.2288512911843276,0.0489759572573463,0.0044523597506678,0.0525378450578806,0.0569902048085485,0.0293855743544078,0.0908281389136242,0.0382902938557435,0.0293855743544078,0.0373998219056099,0.0587711487088156,0.0240427426536064,0.0685663401602849,0.0970614425645592,0.0534283170080142,0.0685663401602849,0.113980409617097,0.0400712377560106,0.0329474621549421,0.0133570792520035,0.0409617097061442,7.3948,335,617,191,137,528,595,285,162,123,1,1,0.2742736280769758,0.4008230888794687,221.7374009314051,0.4123779566276658,0.0285013531799729,0.0025246291370312,2.3807354089334846e-05,0.4770025971746433,0.4008230888794687,1,1,6183.A0A3Q0KC01,A0A3Q0KC01,1123,Sr-related ctd associated factor.
6183.A0A3Q0KC07,837,0.063321385902031,0.3273596176821983,0.4097968936678614,0.2628434886499403,0.046594982078853,0.016726403823178,0.063321385902031,0.05973715651135,0.028673835125448,0.037037037037037,0.038231780167264,0.050179211469534,0.080047789725209,0.091995221027479,0.017921146953405,0.038231780167264,0.069295101553166,0.03584229390681,0.075268817204301,0.1218637992831541,0.054958183990442,0.039426523297491,0.009557945041816,0.025089605734767,9.7784,232,408,191,85,362,475,265,162,103,1,1,0.3118105507368114,0.3048772215438882,352.0450703688944,0.3405652452225741,0.0618234100135318,0.0064459656867344,0.0001664817935743,0.4975900081534075,0.303210089387778,1,1,6183.A0A3Q0KC07,A0A3Q0KC07,837,Protein kinase.
6183.A0A3Q0KC44,275,0.1272727272727272,0.2872727272727273,0.3636363636363636,0.3490909090909091,0.04,0.0109090909090909,0.08,0.0509090909090909,0.08,0.0581818181818181,0.0363636363636363,0.0545454545454545,0.0581818181818181,0.1018181818181818,0.0181818181818181,0.0327272727272727,0.0472727272727272,0.04,0.0363636363636363,0.0872727272727272,0.0472727272727272,0.0727272727272727,0.0254545454545454,0.0218181818181818,5.5381,67,131,74,45,146,129,72,36,36,1,1,0.2502440816454891,0.2552177119239938,225.12063724851265,0.2685855370915126,0.0289242219215155,0.0021362543252179,3.260506100655726e-05,0.4805318830794211,0.2552177119239938,1,1,6183.A0A3Q0KC44,A0A3Q0KC44,275,Glycogenin-related.
6183.A0A3Q0KC55,685,0.0627737226277372,0.2890510948905109,0.4364963503649635,0.2744525547445255,0.0218978102189781,0.0262773722627737,0.0540145985401459,0.0686131386861313,0.0306569343065693,0.0364963503649635,0.0175182481751824,0.0686131386861313,0.0613138686131386,0.1007299270072992,0.018978102189781,0.0963503649635036,0.0496350364963503,0.037956204379562,0.0408759124087591,0.1386861313868613,0.0656934306569343,0.0335766423357664,0.0116788321167883,0.0204379562043795,5.4534,198,358,154,55,287,398,166,82,84,1,1,0.304132251062439,0.3315162414296954,485.37999772618014,0.4228798806463025,0.0973443843031123,0.0088801281130937,0.0001509619221946,0.5099624695322001,0.3297926188947229,1,1,6183.A0A3Q0KC55,A0A3Q0KC55,685,Uncharacterized protein.
6183.A0A3Q0KC66,349,0.0802292263610315,0.3180515759312321,0.3782234957020057,0.3037249283667622,0.0458452722063037,0.0057306590257879,0.0429799426934097,0.0773638968481375,0.0372492836676217,0.0257879656160458,0.0257879656160458,0.0716332378223495,0.1260744985673352,0.0716332378223495,0.0200573065902578,0.0544412607449856,0.0716332378223495,0.0257879656160458,0.0773638968481375,0.0573065902578796,0.0458452722063037,0.0744985673352435,0.0114613180515759,0.0315186246418338,10.6102,63,148,92,37,163,186,122,80,42,1,1,0.2879643570945855,0.3756606427263925,496.7225589159123,0.5020462531266503,0.1006427604871448,0.0084262235238974,0.0001782371857639,0.509096357251063,0.3756606427263925,1,1,6183.A0A3Q0KC66,A0A3Q0KC66,349,KRR1 small subunit processome component; Required for 40S ribosome biogenesis. Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly.
6183.A0A3Q0KC72,474,0.1012658227848101,0.3670886075949368,0.3016877637130801,0.3312236286919831,0.080168776371308,0.0189873417721519,0.0443037974683544,0.0822784810126582,0.050632911392405,0.0675105485232067,0.0443037974683544,0.0443037974683544,0.0548523206751054,0.0886075949367088,0.0316455696202531,0.0337552742616033,0.0316455696202531,0.0274261603375527,0.0569620253164556,0.0696202531645569,0.0590717299578059,0.0632911392405063,0.0168776371308016,0.0337552742616033,6.7798,140,222,131,69,250,224,134,74,60,1,1,0.2371329279775213,0.236424849036314,470.4889531038955,0.3373850886445727,0.093115696887686,0.0062561402164664,0.0004756573895027,0.5104300594488127,0.2359953761043679,1,1,6183.A0A3Q0KC72,A0A3Q0KC72,474,Mitochondrial processing peptidase beta-subunit (M16 family); Belongs to the peptidase M16 family.
6183.A0A3Q0KC81,410,0.0707317073170731,0.3048780487804878,0.3756097560975609,0.3195121951219513,0.0634146341463414,0.024390243902439,0.0560975609756097,0.0609756097560975,0.0268292682926829,0.0560975609756097,0.024390243902439,0.0707317073170731,0.073170731707317,0.073170731707317,0.0121951219512195,0.0365853658536585,0.0512195121951219,0.0292682926829268,0.0658536585365853,0.1024390243902439,0.0585365853658536,0.0707317073170731,0.0121951219512195,0.0317073170731707,8.8695,125,213,114,39,202,208,115,67,48,1,1,0.2104324079422438,0.2722952522925419,266.54094723654214,0.3002810821222491,0.0398342354533152,0.0020883051054082,8.95388358920984e-05,0.4848365814348107,0.2722952522925419,1,1,6183.A0A3Q0KC81,A0A3Q0KC81,410,"Lipoyl synthase, mitochondrial; Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives."
6183.A0A3Q0KC86,339,0.0825958702064896,0.3185840707964601,0.3510324483775811,0.3303834808259587,0.0766961651917404,0.0383480825958702,0.079646017699115,0.0324483775811209,0.0383480825958702,0.0884955752212389,0.023598820058997,0.0619469026548672,0.0294985250737463,0.0855457227138643,0.0206489675516224,0.0412979351032448,0.0176991150442477,0.0383480825958702,0.0648967551622418,0.0943952802359882,0.0707964601769911,0.0530973451327433,0.023598820058997,0.0206489675516224,6.0808,125,190,94,36,178,161,78,40,38,1,1,0.2925113198542677,0.2512651504834536,453.8787375684852,0.3917184394771715,0.0888024357239512,0.0084410339049478,0.000312671394472,0.5080564820319929,0.2512651504834536,1,1,6183.A0A3Q0KC86,A0A3Q0KC86,339,Smp_010230.
6183.A0A3Q0KC95,475,0.0863157894736842,0.3263157894736842,0.3578947368421052,0.3157894736842105,0.0736842105263157,0.031578947368421,0.0421052631578947,0.0694736842105263,0.04,0.1052631578947368,0.0210526315789473,0.071578947368421,0.0568421052631578,0.0694736842105263,0.031578947368421,0.0442105263157894,0.0526315789473684,0.0189473684210526,0.0631578947368421,0.0568421052631578,0.0589473684210526,0.0463157894736842,0.0189473684210526,0.0273684210526315,7.9743,155,243,124,51,270,205,120,67,53,1,1,0.2961414679316331,0.2819457700061229,476.1991147236732,0.3821908926817126,0.0946380243572395,0.008527011826025,0.0001523164027102,0.5110325079365342,0.2819457700061229,1,1,6183.A0A3Q0KC95,A0A3Q0KC95,475,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain."
6183.A0A3Q0KCA5,411,0.1411192214111922,0.2895377128953771,0.3284671532846716,0.3819951338199514,0.0510948905109489,0.0194647201946472,0.048661800486618,0.0437956204379562,0.0510948905109489,0.0535279805352798,0.0340632603406326,0.0851581508515815,0.0559610705596107,0.1070559610705596,0.0145985401459854,0.0510948905109489,0.0535279805352798,0.0389294403892944,0.0340632603406326,0.0656934306569343,0.0389294403892944,0.0632603406326034,0.0218978102189781,0.0681265206812652,7.3038,94,183,126,72,242,169,89,51,38,1,1,0.2965607465229151,0.2755133397418725,348.0175220547832,0.3141104928182688,0.0603010825439783,0.0055734491689113,6.924789527147208e-05,0.5004229121851015,0.2755133397418725,1,1,6183.A0A3Q0KCA5,A0A3Q0KCA5,411,Lipase; Belongs to the AB hydrolase superfamily. Lipase family.
6183.A0A3Q0KCD7,544,0.0588235294117647,0.3915441176470588,0.3584558823529412,0.25,0.0790441176470588,0.0073529411764705,0.0661764705882353,0.0919117647058823,0.0330882352941176,0.03125,0.0220588235294117,0.0441176470588235,0.0955882352941176,0.0753676470588235,0.0183823529411764,0.0496323529411764,0.0386029411764705,0.0441176470588235,0.0827205882352941,0.0772058823529411,0.056985294117647,0.0606617647058823,0.0128676470588235,0.0128676470588235,9.7289,137,254,141,44,225,319,195,109,86,1,1,0.2786916688214506,0.4217109151587154,435.7333805443543,0.5205388394949976,0.0848274695534506,0.0066648143791117,0.0001325901800629,0.5002516004773913,0.4217109151587154,1,1,6183.A0A3Q0KCD7,A0A3Q0KCD7,544,Uncharacterized protein.
6183.A0A3Q0KCF9,534,0.0692883895131086,0.2771535580524344,0.3932584269662921,0.3295880149812734,0.046816479400749,0.0262172284644194,0.0711610486891385,0.0580524344569288,0.0280898876404494,0.0655430711610486,0.0337078651685393,0.0692883895131086,0.0730337078651685,0.0692883895131086,0.0205992509363295,0.0449438202247191,0.0674157303370786,0.0318352059925093,0.0505617977528089,0.0711610486891385,0.0617977528089887,0.0692883895131086,0.0149812734082397,0.0262172284644194,7.0797,145,280,136,55,269,265,153,84,69,1,1,0.298714917905722,0.2209396611136196,581.9647645702341,0.3407206795888319,0.1227165087956698,0.0121049072418103,0.0005461933941099,0.5220084684776136,0.2209396611136196,1,1,6183.A0A3Q0KCF9,A0A3Q0KCF9,534,Coronin; Belongs to the WD repeat coronin family.
6183.A0A3Q0KCG3,733,0.0654843110504775,0.3860845839017734,0.3533424283765348,0.2605729877216917,0.0572987721691678,0.0122783083219645,0.058663028649386,0.0954979536152796,0.0300136425648021,0.0532060027285129,0.0163710777626193,0.0723055934515689,0.111869031377899,0.0941336971350614,0.015006821282401,0.0286493860845839,0.0422919508867667,0.0463847203274215,0.077762619372442,0.058663028649386,0.0450204638472032,0.0491132332878581,0.0081855388813096,0.0272851296043656,9.877,166,297,200,60,338,395,264,151,113,1,1,0.3354038116181649,0.2658031339190423,738.7594928382767,0.4251156182946188,0.1648342354533153,0.0186817552969686,0.0008305428612614,0.535396365997534,0.2658031339190423,1,1,6183.A0A3Q0KCG3,A0A3Q0KCG3,733,ATPase_AAA_core domain-containing protein.
6183.A0A3Q0KCL4,503,0.0497017892644135,0.3896620278330019,0.363817097415507,0.246520874751491,0.0437375745526839,0.0119284294234592,0.0656063618290258,0.1192842942345924,0.0278330019880715,0.0218687872763419,0.0218687872763419,0.0616302186878727,0.0974155069582504,0.1013916500994035,0.0119284294234592,0.0795228628230616,0.0159045725646123,0.0616302186878727,0.05168986083499,0.0834990059642147,0.0636182902584493,0.0377733598409542,0.0,0.0218687872763419,5.1009,113,213,123,36,179,324,179,86,93,1,1,0.3363356469111825,0.3233453937184339,632.0127988641509,0.4448147012683541,0.1363328822733423,0.0163604976834241,0.0003199386440887,0.5250091908005639,0.3233453937184339,1,1,6183.A0A3Q0KCL4,A0A3Q0KCL4,503,DUF4201 domain-containing protein.
