#string_protein_id	preferred_name	protein_size	annotation
6183.A0A3Q0KBC0	A0A3Q0KBC0	862	Eukaryotic translation initiation factor 3 subunit C; Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation.
6183.A0A3Q0KBC1	A0A3Q0KBC1	98	Uncharacterized protein.
6183.A0A3Q0KBC2	A0A3Q0KBC2	247	Eggshell protein.
6183.A0A3Q0KBC3	A0A3Q0KBC3	362	Gdp-mannose pyrophosphorylase b, isoform 2.
6183.A0A3Q0KBC4	A0A3Q0KBC4	210	ATP-dependent (S)-NAD(P)H-hydrate dehydratase; Catalyzes the dehydration of the S-form of NAD(P)HX at the expense of ATP, which is converted to ADP. Together with NAD(P)HX epimerase, which catalyzes the epimerization of the S-and R-forms, the enzyme allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration.
6183.A0A3Q0KBC6	A0A3Q0KBC6	587	Notchless homolog 1.
6183.A0A3Q0KBC8	A0A3Q0KBC8	566	Uncharacterized protein.
6183.A0A3Q0KBD0	A0A3Q0KBD0	362	E3 ubiquitin-protein ligase; E3 ubiquitin-protein ligase that mediates ubiquitination and subsequent proteasomal degradation of target proteins. E3 ubiquitin ligases accept ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates.
6183.A0A3Q0KBD1	A0A3Q0KBD1	440	Ornithine--oxo-acid transaminase; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family.
6183.A0A3Q0KBD2	A0A3Q0KBD2	255	Adapter molecule crk, putative.
6183.A0A3Q0KBD4	A0A3Q0KBD4	1075	CENTB5 protein.
6183.A0A3Q0KBD5	A0A3Q0KBD5	414	Ubiquitin carboxyl-terminal hydrolase.
6183.A0A3Q0KBD6	A0A3Q0KBD6	828	Uncharacterized protein.
6183.A0A3Q0KBE1	A0A3Q0KBE1	1004	Actin binding LIM protein family member 2-related.
6183.A0A3Q0KBE3	A0A3Q0KBE3	878	Family M13 non-peptidase homologue (M13 family).
6183.A0A3Q0KBE4	A0A3Q0KBE4	199	Putative DNAj domain.
6183.A0A3Q0KBE7	A0A3Q0KBE7	632	Uncharacterized protein.
6183.A0A3Q0KBE9	A0A3Q0KBE9	806	Similar to cancer susceptibility candidate 1.
6183.A0A3Q0KBF0	A0A3Q0KBF0	521	Putative g-protein coupled receptor; Belongs to the G-protein coupled receptor 1 family.
6183.A0A3Q0KBF1	A0A3Q0KBF1	121	ATP synthase lipid-binding protein-like protein; Belongs to the ATPase C chain family.
6183.A0A3Q0KBF2	A0A3Q0KBF2	563	Mab-21-like.
6183.A0A3Q0KBF4	A0A3Q0KBF4	482	Adenine DNA glycosylase; Adenine glycosylase active on G-A mispairs.
6183.A0A3Q0KBF5	A0A3Q0KBF5	960	Exocyst complex component 1.
6183.A0A3Q0KBF7	A0A3Q0KBF7	332	5'-amp-activated protein kinase gamma-2 non-catalytic subunit transcript variant 2.
6183.A0A3Q0KBF8	A0A3Q0KBF8	1040	Kinesin heavy chain; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
6183.A0A3Q0KBF9	A0A3Q0KBF9	1045	Nuclear pore complex protein; Functions as a component of the nuclear pore complex (NPC).
6183.A0A3Q0KBG0	A0A3Q0KBG0	233	Putative g-protein coupled receptor.
6183.A0A3Q0KBG1	A0A3Q0KBG1	639	UBA domain-containing protein.
6183.A0A3Q0KBG3	A0A3Q0KBG3	1066	Eukaryotic translation initiation factor 3 subunit A; RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation.
6183.A0A3Q0KBG4	A0A3Q0KBG4	211	Uncharacterized protein.
6183.A0A3Q0KBG5	A0A3Q0KBG5	690	Uncharacterized protein.
6183.A0A3Q0KBG6	A0A3Q0KBG6	2075	Uncharacterized protein.
6183.A0A3Q0KBG7	A0A3Q0KBG7	718	Uncharacterized protein.
6183.A0A3Q0KBG9	A0A3Q0KBG9	1209	Putative myosin; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family.
6183.A0A3Q0KBH0	A0A3Q0KBH0	1292	Uncharacterized protein.
6183.A0A3Q0KBH1	A0A3Q0KBH1	294	Uncharacterized protein.
6183.A0A3Q0KBH2	A0A3Q0KBH2	342	Gh regulated tbc protein-1, putative.
6183.A0A3Q0KBH5	A0A3Q0KBH5	549	Uncharacterized protein.
6183.A0A3Q0KBH8	A0A3Q0KBH8	379	Uncharacterized protein.
6183.A0A3Q0KBI3	A0A3Q0KBI3	1947	Septate junction protein.
6183.A0A3Q0KBI4	A0A3Q0KBI4	296	Uncharacterized protein.
6183.A0A3Q0KBI6	A0A3Q0KBI6	764	Putative homeobox protein.
6183.A0A3Q0KBJ1	A0A3Q0KBJ1	158	Vesicle transport protein; May be involved in fusion of retrograde transport vesicles derived from an endocytic compartment with the Golgi complex. Belongs to the SFT2 family.
6183.A0A3Q0KBJ2	A0A3Q0KBJ2	392	S-adenosylmethionine synthase; Catalyzes the formation of S-adenosylmethionine from methionine and ATP.
6183.A0A3Q0KBJ6	A0A3Q0KBJ6	937	Kinesin-like protein; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family.
6183.A0A3Q0KBJ8	A0A3Q0KBJ8	535	Lysosomal Pro-Xaa carboxypeptidase (S28 family).
6183.A0A3Q0KBK2	A0A3Q0KBK2	361	Pyruvate dehydrogenase E1 component subunit beta; The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO2.
6183.A0A3Q0KBK3	A0A3Q0KBK3	691	Uncharacterized protein.
6183.A0A3Q0KBK4	A0A3Q0KBK4	579	Uncharacterized protein.
6183.A0A3Q0KBK7	A0A3Q0KBK7	839	Hox protein Smox1.
6183.A0A3Q0KBK9	A0A3Q0KBK9	114	Putative 13 kDa deflagellation-inducible protein.
6183.A0A3Q0KBL3	A0A3Q0KBL3	203	26S proteasome subunit P28-related.
6183.A0A3Q0KBL5	A0A3Q0KBL5	230	Putative udp-glucose pyrophosphatase.
6183.A0A3Q0KBL8	A0A3Q0KBL8	124	Uncharacterized protein.
6183.A0A3Q0KBL9	A0A3Q0KBL9	1009	Uncharacterized protein.
6183.A0A3Q0KBM0	A0A3Q0KBM0	600	Uncharacterized protein.
6183.A0A3Q0KBM3	A0A3Q0KBM3	1136	EMC1_C domain-containing protein.
6183.A0A3Q0KBM8	A0A3Q0KBM8	498	Putative septin; Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. Septin GTPase family.
6183.A0A3Q0KBM9	A0A3Q0KBM9	518	Putative splicing factor 3a.
6183.A0A3Q0KBN1	A0A3Q0KBN1	208	Uncharacterized protein.
6183.A0A3Q0KBN4	A0A3Q0KBN4	92	Uncharacterized protein.
6183.A0A3Q0KBN6	A0A3Q0KBN6	704	Family C2 unassigned peptidase (C02 family); Belongs to the peptidase C2 family.
6183.A0A3Q0KBN8	A0A3Q0KBN8	1203	Putative t-box transcription factor tbx20.
6183.A0A3Q0KBN9	A0A3Q0KBN9	337	Uncharacterized protein.
6183.A0A3Q0KBP0	A0A3Q0KBP0	239	Putative elongation factor-1 beta,delta.
6183.A0A3Q0KBP2	A0A3Q0KBP2	500	Putative cell division cycle 20 (Cdc20) (Fizzy).
6183.A0A3Q0KBP5	A0A3Q0KBP5	266	Carbonic anhydrase; Reversible hydration of carbon dioxide. Belongs to the beta-class carbonic anhydrase family.
6183.A0A3Q0KBP6	A0A3Q0KBP6	608	Putative amidase.
6183.A0A3Q0KBP7	A0A3Q0KBP7	262	Uncharacterized protein.
6183.A0A3Q0KBP8	A0A3Q0KBP8	285	DUF862 domain-containing protein.
6183.A0A3Q0KBQ1	A0A3Q0KBQ1	232	Uncharacterized protein.
6183.A0A3Q0KBQ3	A0A3Q0KBQ3	220	Uncharacterized protein.
6183.A0A3Q0KBQ4	A0A3Q0KBQ4	598	Red protein (Ik factor) (Cytokine ik), putative.
6183.A0A3Q0KBQ7	A0A3Q0KBQ7	294	Uncharacterized protein.
6183.A0A3Q0KBR2	A0A3Q0KBR2	246	Uncharacterized protein.
6183.A0A3Q0KBR3	A0A3Q0KBR3	513	Uncharacterized protein.
6183.A0A3Q0KBR4	A0A3Q0KBR4	2178	Voltage-dependent calcium channel.
6183.A0A3Q0KBR6	A0A3Q0KBR6	679	Uncharacterized protein.
6183.A0A3Q0KBS3	A0A3Q0KBS3	148	Putative 50s ribosomal protein L20.
6183.A0A3Q0KBS6	A0A3Q0KBS6	95	Uncharacterized protein.
6183.A0A3Q0KBT1	A0A3Q0KBT1	557	Ig-like domain-containing protein.
6183.A0A3Q0KBT3	A0A3Q0KBT3	787	Muscleblind-like protein.
6183.A0A3Q0KBT4	A0A3Q0KBT4	481	Putative nucleolar protein nol1/nop2; Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB/NOP family.
6183.A0A3Q0KBT5	A0A3Q0KBT5	492	Putative nucleolar protein nol1/nop2; Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB/NOP family.
6183.A0A3Q0KBT9	A0A3Q0KBT9	1011	Non-specific serine/threonine protein kinase; May play a role in the response to environmental stress. Appears to act upstream of the JUN N-terminal pathway.
6183.A0A3Q0KBU0	A0A3Q0KBU0	1199	Non-specific serine/threonine protein kinase; May play a role in the response to environmental stress. Appears to act upstream of the JUN N-terminal pathway.
6183.A0A3Q0KBU1	A0A3Q0KBU1	213	RNA and export factor binding protein, putative.
6183.A0A3Q0KBU2	A0A3Q0KBU2	102	Uncharacterized protein.
6183.A0A3Q0KBU4	A0A3Q0KBU4	346	Zinc finger protein, putative.
6183.A0A3Q0KBU5	A0A3Q0KBU5	597	Ubiquitin-specific peptidase 10 (C19 family); Belongs to the peptidase C19 family.
6183.A0A3Q0KBU6	A0A3Q0KBU6	654	Polypeptide N-acetylgalactosaminyltransferase.
6183.A0A3Q0KBU7	A0A3Q0KBU7	494	Methionine-tRNA synthetase, putative; Belongs to the class-I aminoacyl-tRNA synthetase family.
6183.A0A3Q0KBV0	A0A3Q0KBV0	651	Acetolactate synthase; Belongs to the TPP enzyme family.
6183.A0A3Q0KBV3	A0A3Q0KBV3	83	Dynein light chain.
6183.A0A3Q0KBV4	A0A3Q0KBV4	327	Eukaryotic translation initiation factor 3 subunit I; Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation.
6183.A0A3Q0KBV7	A0A3Q0KBV7	134	Uncharacterized protein.
6183.A0A3Q0KBW1	A0A3Q0KBW1	308	Putative bcl2-associated athanogene.
6183.A0A3Q0KBW2	A0A3Q0KBW2	803	Putative sex comb on midleg homolog.
6183.A0A3Q0KBW3	A0A3Q0KBW3	194	TYR_PHOSPHATASE_2 domain-containing protein.
6183.A0A3Q0KBW6	A0A3Q0KBW6	723	Putative sex comb on midleg homolog.
6183.A0A3Q0KBW7	A0A3Q0KBW7	403	Nudix hydrolase domain-containing protein.
6183.A0A3Q0KBW8	A0A3Q0KBW8	710	Heterogeneous nuclear ribonucleoprotein l (Hnrnp l), putative.
6183.A0A3Q0KBX1	A0A3Q0KBX1	966	Uncharacterized protein.
6183.A0A3Q0KBX2	A0A3Q0KBX2	2609	Uncharacterized protein.
6183.A0A3Q0KBX5	A0A3Q0KBX5	1321	Uncharacterized protein.
6183.A0A3Q0KBX7	A0A3Q0KBX7	476	HIT-type domain-containing protein.
6183.A0A3Q0KBX9	A0A3Q0KBX9	237	Fasting-inducible integral membrane protein tm6p1-related.
6183.A0A3Q0KBY0	A0A3Q0KBY0	1036	C2H2-type domain-containing protein.
6183.A0A3Q0KBY2	A0A3Q0KBY2	1052	C2H2-type domain-containing protein.
6183.A0A3Q0KBY6	A0A3Q0KBY6	205	PDZ domain-containing protein.
6183.A0A3Q0KBY7	A0A3Q0KBY7	173	Fasting-inducible integral membrane protein tm6p1-related.
6183.A0A3Q0KBZ0	A0A3Q0KBZ0	565	Tyrosine-protein kinase.
6183.A0A3Q0KBZ4	A0A3Q0KBZ4	548	Putative g-protein coupled receptor.
6183.A0A3Q0KBZ6	A0A3Q0KBZ6	161	Hexosyltransferase.
6183.A0A3Q0KBZ7	A0A3Q0KBZ7	967	Putative rab6 gtpase activating protein, gapcena (Rabgap1 protein).
6183.A0A3Q0KC01	A0A3Q0KC01	1123	Sr-related ctd associated factor.
6183.A0A3Q0KC02	A0A3Q0KC02	261	Uncharacterized protein.
6183.A0A3Q0KC04	A0A3Q0KC04	972	Uncharacterized protein.
6183.A0A3Q0KC05	A0A3Q0KC05	197	Uncharacterized protein.
6183.A0A3Q0KC07	A0A3Q0KC07	837	Protein kinase.
6183.A0A3Q0KC09	A0A3Q0KC09	53	3'-5' exoribonuclease csl4-related.
6183.A0A3Q0KC14	A0A3Q0KC14	1652	Uncharacterized protein.
6183.A0A3Q0KC15	A0A3Q0KC15	461	Uncharacterized protein.
6183.A0A3Q0KC16	A0A3Q0KC16	465	Putative tyrosine 3-monooxygenase (Tyrosine 3-hydroxylase) (TH).
6183.A0A3Q0KC17	A0A3Q0KC17	341	Putative transcription elongation factor s-II.
6183.A0A3Q0KC18	A0A3Q0KC18	2355	Uncharacterized protein.
6183.A0A3Q0KC19	A0A3Q0KC19	212	ER lumen protein-retaining receptor.
6183.A0A3Q0KC25	A0A3Q0KC25	157	Uncharacterized protein.
6183.A0A3Q0KC34	A0A3Q0KC34	341	Putative adenosine kinase.
6183.A0A3Q0KC36	A0A3Q0KC36	341	Putative adenosine kinase.
6183.A0A3Q0KC37	A0A3Q0KC37	2106	Uncharacterized protein.
6183.A0A3Q0KC39	A0A3Q0KC39	434	Putative erythroblast macrophage protein emp.
6183.A0A3Q0KC41	A0A3Q0KC41	572	Heat shock protein HSP60, putative; Belongs to the chaperonin (HSP60) family.
6183.A0A3Q0KC43	A0A3Q0KC43	395	Deoxyribonuclease II-related.
6183.A0A3Q0KC44	A0A3Q0KC44	275	Glycogenin-related.
6183.A0A3Q0KC45	A0A3Q0KC45	623	Putative transcription factor IWS1.
6183.A0A3Q0KC46	A0A3Q0KC46	886	LRRCT domain-containing protein.
6183.A0A3Q0KC48	A0A3Q0KC48	951	Rhomboid-like protein.
6183.A0A3Q0KC51	A0A3Q0KC51	195	Putative gelsolin.
6183.A0A3Q0KC52	A0A3Q0KC52	928	Putative eukaryotic translation initiation factor 4 gamma.
6183.A0A3Q0KC53	A0A3Q0KC53	1012	Putative helicase.
6183.A0A3Q0KC55	A0A3Q0KC55	685	Uncharacterized protein.
6183.A0A3Q0KC57	A0A3Q0KC57	587	Putative zinc finger protein.
6183.A0A3Q0KC59	A0A3Q0KC59	76	Uncharacterized protein.
6183.A0A3Q0KC61	A0A3Q0KC61	441	3-oxoacyl-[acyl-carrier-protein] synthase; Belongs to the thiolase-like superfamily. Beta-ketoacyl-ACP synthases family.
6183.A0A3Q0KC63	A0A3Q0KC63	256	Uncharacterized protein.
6183.A0A3Q0KC66	A0A3Q0KC66	349	KRR1 small subunit processome component; Required for 40S ribosome biogenesis. Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly.
6183.A0A3Q0KC67	A0A3Q0KC67	243	Uncharacterized protein.
6183.A0A3Q0KC68	A0A3Q0KC68	319	Steroid dehydrogenase, putative; Belongs to the short-chain dehydrogenases/reductases (SDR) family.
6183.A0A3Q0KC69	A0A3Q0KC69	538	Putative ring finger-containing.
6183.A0A3Q0KC71	A0A3Q0KC71	546	Putative glutamyl-tRNA synthetase 1, 2, 3 (Glutamate--tRNA ligase 1, 2, 3); Belongs to the class-I aminoacyl-tRNA synthetase family.
6183.A0A3Q0KC72	A0A3Q0KC72	474	Mitochondrial processing peptidase beta-subunit (M16 family); Belongs to the peptidase M16 family.
6183.A0A3Q0KC74	A0A3Q0KC74	1116	Six/sine homebox transcription factors,putative.
6183.A0A3Q0KC75	A0A3Q0KC75	833	Serine/threonine kinase.
6183.A0A3Q0KC76	A0A3Q0KC76	224	Snf7-related.
6183.A0A3Q0KC77	A0A3Q0KC77	1724	Tyrosine kinase.
6183.A0A3Q0KC78	A0A3Q0KC78	234	Branching Xylosyltransferase.
6183.A0A3Q0KC79	A0A3Q0KC79	179	Translocon-associated protein subunit beta; TRAP proteins are part of a complex whose function is to bind calcium to the ER membrane and thereby regulate the retention of ER resident proteins.
6183.A0A3Q0KC80	A0A3Q0KC80	200	Putative chaperone binding protein.
6183.A0A3Q0KC81	A0A3Q0KC81	410	Lipoyl synthase, mitochondrial; Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives.
6183.A0A3Q0KC86	A0A3Q0KC86	339	Smp_010230.
6183.A0A3Q0KC91	A0A3Q0KC91	141	Uncharacterized protein.
6183.A0A3Q0KC93	A0A3Q0KC93	191	Isochorismatase domain-containing protein.
6183.A0A3Q0KC94	A0A3Q0KC94	166	Uncharacterized protein.
6183.A0A3Q0KC95	A0A3Q0KC95	475	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial; Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain.
6183.A0A3Q0KC96	A0A3Q0KC96	303	DUF1907 domain-containing protein.
6183.A0A3Q0KC98	A0A3Q0KC98	288	Elongation of very long chain fatty acids protein.
6183.A0A3Q0KCA4	A0A3Q0KCA4	278	Uncharacterized protein.
6183.A0A3Q0KCA5	A0A3Q0KCA5	411	Lipase; Belongs to the AB hydrolase superfamily. Lipase family.
6183.A0A3Q0KCA6	A0A3Q0KCA6	272	Putative sj-Ts4 protein.
6183.A0A3Q0KCA9	A0A3Q0KCA9	512	Protein kinase.
6183.A0A3Q0KCB0	A0A3Q0KCB0	549	Putative glucosamine-fructose-6-phosphate aminotransferase.
6183.A0A3Q0KCB2	A0A3Q0KCB2	279	Putative sj-Ts4 protein.
6183.A0A3Q0KCB3	A0A3Q0KCB3	314	GPI-anchor transamidase; Mediates GPI anchoring in the endoplasmic reticulum, by replacing a protein's C-terminal GPI attachment signal peptide with a pre-assembled GPI. During this transamidation reaction, the GPI transamidase forms a carbonyl intermediate with the substrate protein. Belongs to the peptidase C13 family.
6183.A0A3Q0KCB6	A0A3Q0KCB6	401	Protein kinase.
6183.A0A3Q0KCB7	A0A3Q0KCB7	487	Uncharacterized protein.
6183.A0A3Q0KCB8	A0A3Q0KCB8	522	Protein kinase.
6183.A0A3Q0KCB9	A0A3Q0KCB9	507	Inositol-pentakisphosphate 2-kinase; Phosphorylates Ins(1,3,4,5,6)P5 at position 2 to form Ins(1,2,3,4,5,6)P6 (InsP6 or phytate).
6183.A0A3Q0KCC0	A0A3Q0KCC0	545	CD36-like class B scavenger receptor; Belongs to the CD36 family.
6183.A0A3Q0KCC2	A0A3Q0KCC2	1100	Tyrosine-protein kinase receptor.
6183.A0A3Q0KCC5	A0A3Q0KCC5	584	Putative transcription factor LCR-F1.
6183.A0A3Q0KCC6	A0A3Q0KCC6	589	Putative beta-galactosidase; Belongs to the glycosyl hydrolase 35 family.
6183.A0A3Q0KCC8	A0A3Q0KCC8	680	Uncharacterized protein.
6183.A0A3Q0KCC9	A0A3Q0KCC9	348	Putative zinc finger protein.
6183.A0A3Q0KCD0	A0A3Q0KCD0	905	Acetylcholine receptor-related; Belongs to the ligand-gated ion channel (TC 1.A.9) family.
6183.A0A3Q0KCD7	A0A3Q0KCD7	544	Uncharacterized protein.
6183.A0A3Q0KCD8	A0A3Q0KCD8	828	Putative exonuclease.
6183.A0A3Q0KCD9	A0A3Q0KCD9	319	Uncharacterized protein.
6183.A0A3Q0KCE2	A0A3Q0KCE2	375	Uncharacterized protein.
6183.A0A3Q0KCE3	A0A3Q0KCE3	184	Pten-related phosphatase (Plip).
6183.A0A3Q0KCE4	A0A3Q0KCE4	184	Uncharacterized protein.
6183.A0A3Q0KCE9	A0A3Q0KCE9	183	Putative ankyrin repeat and mynd domain containing.
6183.A0A3Q0KCF1	A0A3Q0KCF1	888	Putative guanine-nucleotide-exchange-factor.
6183.A0A3Q0KCF2	A0A3Q0KCF2	81	Uncharacterized protein.
6183.A0A3Q0KCF3	A0A3Q0KCF3	116	Putative four and A half lim domains.
6183.A0A3Q0KCF5	A0A3Q0KCF5	393	Putative ankyrin repeat and mynd domain containing.
6183.A0A3Q0KCF6	A0A3Q0KCF6	1201	Putative sarm1.
6183.A0A3Q0KCF8	A0A3Q0KCF8	225	Eukaryotic translation initiation factor 3 subunit J; Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation.
